bill_number,tweet_id,text,date,user,url
HB3851,1234934940862701569,"RT @c_hansen84: Thank you to @RepChrisMiller, @Sam4Rep, Thomas Morrison, @JohnCabello, @repjcarroll, and Nathan Reitz for signing on to bi-…",Tue Mar 03 20:13:28 +0000 2020,"Zeus 🇺🇸 ⭐⭐⭐ No Collusion, No Obstruction!",https://twitter.com/zeusFanHouse/status/1234934940862701569
HB3879,1238120019264929792,"Our agenda looks to tackle some of our state, &amp; nation’s, most pressing issues through legislation like the #GoodSamaritanOverdosePreventionAct HB3879/SB3229 which extends legal protections to those who contact emergency services in order to prevent a fatal overdose #opioidcrisis",Thu Mar 12 15:09:50 +0000 2020,Heartland Policy,https://twitter.com/HeartlandPolicy/status/1238120019264929792
HB3905,1235785368781418499,"RT @VicComed: Thanks @lashawnfordjobs (La Shawn Ford) for cracking down on fake service dogs via HB3905.  Here, I thought unfunded pensions…",Fri Mar 06 04:32:46 +0000 2020,Jeffrey Hayes Frye⭐⭐⭐,https://twitter.com/JeffreyFrye/status/1235785368781418499
HB3905,1235722674569121794,"RT @VicComed: Thanks @lashawnfordjobs (La Shawn Ford) for cracking down on fake service dogs via HB3905.  Here, I thought unfunded pensions…",Fri Mar 06 00:23:38 +0000 2020,Rae A 🌹Precious Life Matters🌹,https://twitter.com/WileyWonka59/status/1235722674569121794
HB3905,1235722181054730240,"RT @VicComed: Thanks @lashawnfordjobs (La Shawn Ford) for cracking down on fake service dogs via HB3905.  Here, I thought unfunded pensions…",Fri Mar 06 00:21:41 +0000 2020,#TRUMP 2020 #MAGA #KAG,https://twitter.com/chuck_rowland/status/1235722181054730240
HB3905,1235692892154290176,"RT @VicComed: Thanks @lashawnfordjobs (La Shawn Ford) for cracking down on fake service dogs via HB3905.  Here, I thought unfunded pensions…",Thu Mar 05 22:25:18 +0000 2020,TaxenEmSillyInIllinois,https://twitter.com/Get_Outa_Here/status/1235692892154290176
HB3905,1235684869390262272,"Thanks @lashawnfordjobs (La Shawn Ford) for cracking down on fake service dogs via HB3905.  Here, I thought unfunded pensions were the problem! #twill https://t.co/R3WBeKESFC",Thu Mar 05 21:53:25 +0000 2020,"Vic Frohmeyer, ComEd Lobbyist from Chiraq, IL",https://twitter.com/VicComed/status/1235684869390262272
HB3932,1236798414089859073,RT @RepKamBuckner: Amen. I filed HB3932 in order to create some solutions based movement. We need as much support to get this passed as pos…,Sun Mar 08 23:38:15 +0000 2020,Dulana Reese,https://twitter.com/DulanaReese/status/1236798414089859073
HB3932,1236327372997222405,Amen. I filed HB3932 in order to create some solutions based movement. We need as much support to get this passed as possible. https://t.co/tkmmsUtsvt https://t.co/slyY7gVHWN,Sat Mar 07 16:26:30 +0000 2020,Kam Buckner,https://twitter.com/RepKamBuckner/status/1236327372997222405
HB4064,1235287059583184896,"RT @il_fps: PROPONENT witness slips needed HB4064, bill to make IL public colleges &amp; univ's test-optional for admissions. Hearing at 3pm to…",Wed Mar 04 19:32:40 +0000 2020,Jennifer Jones,https://twitter.com/jenbotjones/status/1235287059583184896
HB4064,1235285284125839361,Bill HB4064 here: https://t.co/5t4LSoOjfB,Wed Mar 04 19:25:36 +0000 2020,Illinois Families for Public Schools,https://twitter.com/il_fps/status/1235285284125839361
HB4064,1235284747372421121,"PROPONENT witness slips needed HB4064, bill to make IL public colleges &amp; univ's test-optional for admissions. Hearing at 3pm today: https://t.co/yiGaYFZftW",Wed Mar 04 19:23:28 +0000 2020,Illinois Families for Public Schools,https://twitter.com/il_fps/status/1235284747372421121
HB4133,1235633721631535104,Register for Epilepsy Advocacy Day! We’ll be in Springfield on March 19 to ask legislators to support HB4133. This bill will add epilepsy to the list of conditions that's covered by medicaid for TeleHealth Services. Transportation included. Register at https://t.co/yTDqfbjSBn https://t.co/oSXaEG2fVs,Thu Mar 05 18:30:10 +0000 2020,Epilepsy Foundation,https://twitter.com/EpilepsyChicago/status/1235633721631535104
HB4377,1237875077963599872,@StateRepManley please support HB4377 so that people serving felony convictions can vote! Democracy works best when everyone is involved! @ChicagoVotes #votinginprison #unlockcivics https://t.co/qbx6glx0Hu,Wed Mar 11 22:56:31 +0000 2020,Chihuahua with snot bubble,https://twitter.com/taco_bae/status/1237875077963599872
HB4377,1237873777179934723,@RepJGB please support HB4377 so that people serving felony convictions can vote. Democracy works better when more people are involved. @ChicagoVotes #votinginprison #unlockcivics,Wed Mar 11 22:51:21 +0000 2020,Chihuahua with snot bubble,https://twitter.com/taco_bae/status/1237873777179934723
HB4377,1237872841447497728,@Repevans33 please support HB4377 so people serving felony convictions can get back the right to vote. Democracy doesn’t work if people are excluded from the democratic process. @ChicagoVotes #votinginprison #unlockcivics,Wed Mar 11 22:47:38 +0000 2020,Chihuahua with snot bubble,https://twitter.com/taco_bae/status/1237872841447497728
HB4377,1237871273176215558,@RepTimButler please support HB4377 which gives people serving felony convictions the right to vote. A democracy can only serve us if everyone is included in the process. @ChicagoVotes #unlockcivics #votinginprison,Wed Mar 11 22:41:24 +0000 2020,Chihuahua with snot bubble,https://twitter.com/taco_bae/status/1237871273176215558
HB4377,1237870613873618950,@keithwheeler please support HB4377 which gives people serving felony convictions back the right to vote. Democracy doesn’t work unless all of us are included in it. @ChicagoVotes #unlockcivics #votinginprison,Wed Mar 11 22:38:47 +0000 2020,Chihuahua with snot bubble,https://twitter.com/taco_bae/status/1237870613873618950
HB4377,1237869856071905282,@RobertBobRita please support HB4377 that gives individuals serving a felony conviction back the right to vote! We must include the voices of everyone for democracy to work! @ChicagoVotes #votinginprison #unlockcivics,Wed Mar 11 22:35:46 +0000 2020,Chihuahua with snot bubble,https://twitter.com/taco_bae/status/1237869856071905282
HB4377,1237868995039989760,@RepChrisWelch please support HB4377 to give people serving a felony conviction the right to vote! @chicagovotes #paroleillinois,Wed Mar 11 22:32:21 +0000 2020,Chihuahua with snot bubble,https://twitter.com/taco_bae/status/1237868995039989760
HB4516,1237736085532401664,We passed HB4516 to ensure IL families can get hearing aids w/o worrying about costs. 👂 I hope that the federal government sees how many Illinoisans benefit from this law &amp; decides to expand coverage for the Mitsch family &amp; others with hearing loss. https://t.co/P81pTVYwIy,Wed Mar 11 13:44:13 +0000 2020,Senator Laura Fine,https://twitter.com/SenatorFine/status/1237736085532401664
HB4704,1235020868474081282,@APAadvocates @APA_Planning @AncelGlinkLand *UPDATE* The 3/3/20 Cities &amp; Villages Committee Hearing was cancelled. Stay tuned for updates on HB4704. We still need you to oppose SB3329! Please file a witness slip for the 3/4/20 Executive Committee Meeting. https://t.co/n8LuuMwJ3U,Wed Mar 04 01:54:55 +0000 2020,APA-IL,https://twitter.com/APAIL/status/1235020868474081282
HB4704,1234941219781955589,RT @APAIL: Legislative alert! Oppose SB3329 and HB4704! File a Witness Slip! Supporters of residential gardening rights are back with two n…,Tue Mar 03 20:38:25 +0000 2020,SPO at UIUC,https://twitter.com/SPOUIUC/status/1234941219781955589
HB4704,1234892081010790406,Legislative alert! Oppose SB3329 and HB4704! File a Witness Slip! Supporters of residential gardening rights are back with two new bills that would each create a “Right to Garden Act”. https://t.co/n8LuuMwJ3U https://t.co/vGR97jv3gH,Tue Mar 03 17:23:09 +0000 2020,APA-IL,https://twitter.com/APAIL/status/1234892081010790406
HB4783,1237543789616488449,"RT @Suntimes: Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for scho…",Wed Mar 11 01:00:06 +0000 2020,NABJCC,https://twitter.com/NABJCC/status/1237543789616488449
HB4783,1237511791690694656,"RT @Suntimes: Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for scho…",Tue Mar 10 22:52:57 +0000 2020,Maudlyne Ihejirika,https://twitter.com/maudlynei/status/1237511791690694656
HB4783,1237377244508631041,RT @MarlenGarcia777: EDITORIAL: Native Americans should be the judge of when some high school mascots stay or go https://t.co/mZ7Dx8vWmp vi…,Tue Mar 10 13:58:19 +0000 2020,Steve Penley,https://twitter.com/stp4JAH/status/1237377244508631041
