name,party,district,count_sponsored,count_passed,Agriculture,Budget,Commerce_and_Economic_Development,Criminal_Justice,Education,Energy_and_Public_Utilities,Environment,Health,Human_and_Social_Services,Employment_and_Labor,Public_Safety_and_Firearms,Regulation,Taxes,Telecommunications_and_Information_Technology,Transportation,Veterans_Affairs,pass_rate,sponsored_rank_in_party,pass_rate_rank_in_party
Terry Link,D,Senate 30,43,19,0,0,0,4,1,0,0,3,3,1,0,17,2,0,2,0,44.18604651162791,59,5
Andy Manar,D,Senate 48,87,20,1,7,0,2,13,1,0,1,5,4,0,31,5,0,1,1,22.988505747126435,17,33
Iris Y. Martinez,D,Senate 20,64,26,1,2,0,2,9,0,1,1,3,9,0,19,2,0,1,0,40.625,32,6
Robert F. Martwick,D,Senate 10,43,1,0,1,0,6,1,0,0,0,2,12,0,7,5,0,0,0,2.3255813953488373,59,113
Steve McClure,R,Senate 50,21,3,0,0,0,8,0,0,0,0,0,1,0,4,1,0,1,0,14.285714285714286,44,12
Dan McConchie,R,Senate 26,85,10,0,5,0,10,13,0,2,0,0,2,0,18,4,0,6,0,11.764705882352942,4,17
Pat McGuire,D,Senate 43,38,8,0,2,0,0,4,1,1,2,0,0,0,7,4,0,3,0,21.05263157894737,73,43
Julie A. Morrison,D,Senate 29,94,29,1,0,1,16,1,0,2,8,11,0,1,28,3,0,6,0,30.851063829787233,13,17
Antonio Muñoz,D,Senate 1,75,15,0,0,3,2,0,3,0,1,2,1,0,26,1,0,4,0,20.0,24,48
Laura M. Murphy,D,Senate 28,71,10,0,3,3,8,11,0,1,2,6,1,0,22,9,0,0,0,14.084507042253522,26,79
Jim Oberweis,R,Senate 25,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0.0,59,56
Robert Peters,D,Senate 13,47,13,0,1,3,8,2,1,1,1,9,1,1,7,0,0,0,0,27.659574468085108,52,22
Jason Plummer,R,Senate 54,34,3,1,0,0,7,1,0,0,0,1,1,0,8,0,0,2,0,8.823529411764707,31,24
Sue Rezin,R,Senate 38,42,2,0,2,0,1,5,2,1,0,2,0,0,6,2,0,0,0,4.761904761904762,18,46
Dale A. Righter,R,Senate 55,10,3,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,30.0,59,4
Chapin Rose,R,Senate 51,85,6,2,4,0,7,12,4,1,0,7,0,0,18,7,0,7,0,7.0588235294117645,4,32
Paul Schimpf,R,Senate 58,25,3,1,0,1,6,1,0,0,0,0,2,0,6,1,0,0,3,12.0,36,16
